property_id,title,location,city,price_lakhs,area_sqft,bedrooms,bathrooms,property_type,amenities,furnishing,age_years,description,state,district,locality,area,landmark,pincode,image_urls
PROP-1011,"Modern 2 BHK Apartment in Benz Circle, Vijayawada","Benz Circle, Vijayawada",Vijayawada,45.0,950,2,2,Apartment,"Parking, Elevator, Security, Power Backup, Gym, Balcony, Play Area",Semi-Furnished,0,"Beautiful, well-ventilated 2 BHK home situated in prime residential hub of Benz Circle, Vijayawada. Modular kitchen, sunlit living area, high-speed elevator, and 24-hour security.",Andhra Pradesh,NTR District,Benz Circle,Benz Circle Flyover,Trendset Mall,520010,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=600&q=80&sig=1011
PROP-1012,"Luxury 4 BHK Triplex Villa in Patamata, Vijayawada","Patamata, Vijayawada",Vijayawada,198.0,2920,4,4,Villa,"Parking, Private Garden, Swimming Pool, Security, Clubhouse, Gym, Solar Power",Furnished,1,"Exquisite 4 BHK independent triplex villa in premium gated township at Patamata, Vijayawada. Includes private landscaped garden, double-height living hall, servant quarters, and 2 car parkings.",Andhra Pradesh,NTR District,Patamata,Patamata High Road,Time Hospital,520010,https://images.unsplash.com/photo-1572120360610-d971b9d7767c?auto=format&fit=crop&w=600&q=80&sig=1012
PROP-1013,"Spacious 3 BHK Independent Duplex in Moghalrajpuram, Vijayawada","Moghalrajpuram, Vijayawada",Vijayawada,134.0,2120,3,3,Independent House,"Parking, Private Courtyard, Security, Power Backup, Terrace Garden",Semi-Furnished,2,"Independent ground + 1 duplex residence in serene neighborhood of Moghalrajpuram, Vijayawada. Features wide road frontage, Vastu-compliant layout, private paved garden, and 24/7 power backup.",Andhra Pradesh,NTR District,Moghalrajpuram,Moghalrajpuram Caves Road,PVP Square,520010,https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?auto=format&fit=crop&w=600&q=80&sig=1013
PROP-1014,"Exclusive Residential Plot in Poranki, Vijayawada","Poranki, Vijayawada",Vijayawada,41.5,2250,0,0,Land,"Clear Title, Blacktop Road, Fencing, Water Connection, Electricity",Unfurnished,0,"Prime East-facing 2250 sq.ft residential plot in gated layout at Poranki, Vijayawada. Close to VR Siddhartha College. Clear titles, 40ft approach road, and high investment appreciation potential.",Andhra Pradesh,NTR District,Poranki,Poranki Main Road,VR Siddhartha College,521137,https://images.unsplash.com/photo-1600585154526-990dced4db0d?auto=format&fit=crop&w=600&q=80&sig=1014
PROP-1015,"Sky Villa 4 BHK Penthouse in Kanuru, Vijayawada","Kanuru, Vijayawada",Vijayawada,298.0,3600,4,5,Penthouse,"Parking, Private Terrace, Swimming Pool, Gym, Elevator, Security, Concierge",Furnished,1,"Top-floor luxury sky villa penthouse commanding panoramic views of Vijayawada skyline in Kanuru. Private rooftop deck, VRV air-conditioning, Italian marble flooring, and 3 reserved parking slots.",Andhra Pradesh,NTR District,Kanuru,Kanuru Junction,Spurthy Supermarket,520007,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=600&q=80&sig=1015
PROP-1016,"Modern 3 BHK Apartment in Gollapudi, Vijayawada","Gollapudi, Vijayawada",Vijayawada,87.5,1400,3,3,Apartment,"Parking, Elevator, Security, Power Backup, Gym, Balcony, Play Area",Unfurnished,1,"Beautiful, well-ventilated 3 BHK home situated in prime residential hub of Gollapudi, Vijayawada. Modular kitchen, sunlit living area, high-speed elevator, and 24-hour security.",Andhra Pradesh,NTR District,Gollapudi,Gollapudi Bypass,Wholesale Market,521225,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=600&q=80&sig=1016
PROP-1017,"Luxury 4 BHK Triplex Villa in Auto Nagar, Vijayawada","Auto Nagar, Vijayawada",Vijayawada,288.0,3520,4,4,Villa,"Parking, Private Garden, Swimming Pool, Security, Clubhouse, Gym, Solar Power",Semi-Furnished,2,"Exquisite 4 BHK independent triplex villa in premium gated township at Auto Nagar, Vijayawada. Includes private landscaped garden, double-height living hall, servant quarters, and 2 car parkings.",Andhra Pradesh,NTR District,Auto Nagar,Auto Nagar 100ft Road,Industrial Estate Park,520007,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=600&q=80&sig=1017
PROP-1018,"Spacious 3 BHK Independent Duplex in Bhavanipuram, Vijayawada","Bhavanipuram, Vijayawada",Vijayawada,194.0,2670,3,3,Independent House,"Parking, Private Courtyard, Security, Power Backup, Terrace Garden",Semi-Furnished,2,"Independent ground + 1 duplex residence in serene neighborhood of Bhavanipuram, Vijayawada. Features wide road frontage, Vastu-compliant layout, private paved garden, and 24/7 power backup.",Andhra Pradesh,NTR District,Bhavanipuram,Bhavanipuram Main Road,Prakasam Barrage View,520012,https://images.unsplash.com/photo-1549517045-bc93de075e53?auto=format&fit=crop&w=600&q=80&sig=1018
PROP-1019,"Exclusive Residential Plot in Ramavarappadu, Vijayawada","Ramavarappadu, Vijayawada",Vijayawada,64.0,3000,0,0,Land,"Clear Title, Blacktop Road, Fencing, Water Connection, Electricity",Unfurnished,0,"Prime East-facing 3000 sq.ft residential plot in gated layout at Ramavarappadu, Vijayawada. Close to Inner Ring Junction. Clear titles, 40ft approach road, and high investment appreciation potential.",Andhra Pradesh,NTR District,Ramavarappadu,Ramavarappadu Ring Road,Inner Ring Junction,521108,https://images.unsplash.com/photo-1513584684374-8bab748fbf90?auto=format&fit=crop&w=600&q=80&sig=1019
PROP-1020,"Sky Villa 4 BHK Penthouse in Enikepadu, Vijayawada","Enikepadu, Vijayawada",Vijayawada,408.0,4100,4,5,Penthouse,"Parking, Private Terrace, Swimming Pool, Gym, Elevator, Security, Concierge",Furnished,0,"Top-floor luxury sky villa penthouse commanding panoramic views of Vijayawada skyline in Enikepadu. Private rooftop deck, VRV air-conditioning, Italian marble flooring, and 3 reserved parking slots.",Andhra Pradesh,NTR District,Enikepadu,Enikepadu Highway,Latha Supermarket,521108,https://images.unsplash.com/photo-1523217582562-09d0def993a6?auto=format&fit=crop&w=600&q=80&sig=1020
PROP-1021,"Modern 2 BHK Apartment in Brodipet, Guntur","Brodipet, Guntur",Guntur,45.0,950,2,2,Apartment,"Parking, Elevator, Security, Power Backup, Gym, Balcony, Play Area",Semi-Furnished,0,"Beautiful, well-ventilated 2 BHK home situated in prime residential hub of Brodipet, Guntur. Modular kitchen, sunlit living area, high-speed elevator, and 24-hour security.",Andhra Pradesh,Guntur,Brodipet,Brodipet 4th Line,Naaz Centre,522002,https://images.unsplash.com/photo-1583608205776-bfd35f0d9f83?auto=format&fit=crop&w=600&q=80&sig=1021
PROP-1022,"Luxury 4 BHK Triplex Villa in Arundelpet, Guntur","Arundelpet, Guntur",Guntur,198.0,2920,4,4,Villa,"Parking, Private Garden, Swimming Pool, Security, Clubhouse, Gym, Solar Power",Furnished,1,"Exquisite 4 BHK independent triplex villa in premium gated township at Arundelpet, Guntur. Includes private landscaped garden, double-height living hall, servant quarters, and 2 car parkings.",Andhra Pradesh,Guntur,Arundelpet,Arundelpet Main Road,Shankar Vilas Center,522002,https://images.unsplash.com/photo-1576941089067-2de3c901e126?auto=format&fit=crop&w=600&q=80&sig=1022
PROP-1023,"Spacious 3 BHK Independent Duplex in Lakshmipuram, Guntur","Lakshmipuram, Guntur",Guntur,134.0,2120,3,3,Independent House,"Parking, Private Courtyard, Security, Power Backup, Terrace Garden",Semi-Furnished,2,"Independent ground + 1 duplex residence in serene neighborhood of Lakshmipuram, Guntur. Features wide road frontage, Vastu-compliant layout, private paved garden, and 24/7 power backup.",Andhra Pradesh,Guntur,Lakshmipuram,Lakshmipuram 8th Line,Hindu College Campus,522007,https://images.unsplash.com/photo-1598257006458-087169a1f08d?auto=format&fit=crop&w=600&q=80&sig=1023
PROP-1024,"Exclusive Residential Plot in Amaravathi Road, Guntur","Amaravathi Road, Guntur",Guntur,41.5,2250,0,0,Land,"Clear Title, Blacktop Road, Fencing, Water Connection, Electricity",Unfurnished,0,"Prime East-facing 2250 sq.ft residential plot in gated layout at Amaravathi Road, Guntur. Close to NTR Statue Circle. Clear titles, 40ft approach road, and high investment appreciation potential.",Andhra Pradesh,Guntur,Amaravathi Road,Amaravati Main Highway,NTR Statue Circle,522002,https://images.unsplash.com/photo-1599809275671-b59425804642?auto=format&fit=crop&w=600&q=80&sig=1024
PROP-1025,"Sky Villa 4 BHK Penthouse in Nallapadu, Guntur","Nallapadu, Guntur",Guntur,298.0,3600,4,5,Penthouse,"Parking, Private Terrace, Swimming Pool, Gym, Elevator, Security, Concierge",Furnished,1,"Top-floor luxury sky villa penthouse commanding panoramic views of Guntur skyline in Nallapadu. Private rooftop deck, VRV air-conditioning, Italian marble flooring, and 3 reserved parking slots.",Andhra Pradesh,Guntur,Nallapadu,Nallapadu Railway Station,Industrial Park,522005,https://images.unsplash.com/photo-1600573472591-ee6b68d14c68?auto=format&fit=crop&w=600&q=80&sig=1025
PROP-1026,"Modern 3 BHK Apartment in Pattabhipuram, Guntur","Pattabhipuram, Guntur",Guntur,87.5,1400,3,3,Apartment,"Parking, Elevator, Security, Power Backup, Gym, Balcony, Play Area",Unfurnished,1,"Beautiful, well-ventilated 3 BHK home situated in prime residential hub of Pattabhipuram, Guntur. Modular kitchen, sunlit living area, high-speed elevator, and 24-hour security.",Andhra Pradesh,Guntur,Pattabhipuram,Pattabhipuram Main Road,St Joseph Hospital,522006,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=600&q=80&sig=1026
PROP-1027,"Luxury 4 BHK Triplex Villa in SVN Colony, Guntur","SVN Colony, Guntur",Guntur,288.0,3520,4,4,Villa,"Parking, Private Garden, Swimming Pool, Security, Clubhouse, Gym, Solar Power",Semi-Furnished,2,"Exquisite 4 BHK independent triplex villa in premium gated township at SVN Colony, Guntur. Includes private landscaped garden, double-height living hall, servant quarters, and 2 car parkings.",Andhra Pradesh,Guntur,SVN Colony,SVN Colony Main Street,Municipal Park,522006,https://images.unsplash.com/photo-1600585152220-90363fe7e115?auto=format&fit=crop&w=600&q=80&sig=1027
PROP-1028,"Spacious 3 BHK Independent Duplex in Srinagar, Guntur","Srinagar, Guntur",Guntur,194.0,2670,3,3,Independent House,"Parking, Private Courtyard, Security, Power Backup, Terrace Garden",Semi-Furnished,2,"Independent ground + 1 duplex residence in serene neighborhood of Srinagar, Guntur. Features wide road frontage, Vastu-compliant layout, private paved garden, and 24/7 power backup.",Andhra Pradesh,Guntur,Srinagar,Srinagar 2nd Line,SBI Branch,522002,https://images.unsplash.com/photo-1600607687644-c7171b42498b?auto=format&fit=crop&w=600&q=80&sig=1028
PROP-1029,"Exclusive Residential Plot in Gorantla, Guntur","Gorantla, Guntur",Guntur,64.0,3000,0,0,Land,"Clear Title, Blacktop Road, Fencing, Water Connection, Electricity",Unfurnished,0,"Prime East-facing 3000 sq.ft residential plot in gated layout at Gorantla, Guntur. Close to DPS School. Clear titles, 40ft approach road, and high investment appreciation potential.",Andhra Pradesh,Guntur,Gorantla,Gorantla Inner Ring Road,DPS School,522034,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=600&q=80&sig=1029
PROP-1030,"Sky Villa 4 BHK Penthouse in Vidya Nagar, Guntur","Vidya Nagar, Guntur",Guntur,408.0,4100,4,5,Penthouse,"Parking, Private Terrace, Swimming Pool, Gym, Elevator, Security, Concierge",Furnished,0,"Top-floor luxury sky villa penthouse commanding panoramic views of Guntur skyline in Vidya Nagar. Private rooftop deck, VRV air-conditioning, Italian marble flooring, and 3 reserved parking slots.",Andhra Pradesh,Guntur,Vidya Nagar,Vidya Nagar 1st Line,JKC College,522007,https://images.unsplash.com/photo-1600585154363-67eb9e2e2099?auto=format&fit=crop&w=600&q=80&sig=1030
PROP-1031,"Modern 2 BHK Apartment in Koramangala, Bangalore","Koramangala, Bangalore",Bangalore,45.0,950,2,2,Apartment,"Parking, Elevator, Security, Power Backup, Gym, Balcony, Play Area",Semi-Furnished,0,"Beautiful, well-ventilated 2 BHK home situated in prime residential hub of Koramangala, Bangalore. Modular kitchen, sunlit living area, high-speed elevator, and 24-hour security.",Karnataka,Bangalore Urban,Koramangala,Koramangala 4th Block,Sony World Signal,560034,https://images.unsplash.com/photo-1600607687909-ed96943c3228?auto=format&fit=crop&w=600&q=80&sig=1031
PROP-1032,"Luxury 4 BHK Triplex Villa in Indiranagar, Bangalore","Indiranagar, Bangalore",Bangalore,198.0,2920,4,4,Villa,"Parking, Private Garden, Swimming Pool, Security, Clubhouse, Gym, Solar Power",Furnished,1,"Exquisite 4 BHK independent triplex villa in premium gated township at Indiranagar, Bangalore. Includes private landscaped garden, double-height living hall, servant quarters, and 2 car parkings.",Karnataka,Bangalore Urban,Indiranagar,100ft Road Indiranagar,Indiranagar Metro Stn,560038,https://images.unsplash.com/photo-1600566753086-00f18fb6b3ea?auto=format&fit=crop&w=600&q=80&sig=1032
PROP-1033,"Spacious 3 BHK Independent Duplex in Whitefield, Bangalore","Whitefield, Bangalore",Bangalore,134.0,2120,3,3,Independent House,"Parking, Private Courtyard, Security, Power Backup, Terrace Garden",Semi-Furnished,2,"Independent ground + 1 duplex residence in serene neighborhood of Whitefield, Bangalore. Features wide road frontage, Vastu-compliant layout, private paved garden, and 24/7 power backup.",Karnataka,Bangalore Urban,Whitefield,Whitefield Main Road,ITPB Tech Park,560066,https://images.unsplash.com/photo-1600585152915-d208bec867a1?auto=format&fit=crop&w=600&q=80&sig=1033
PROP-1034,"Exclusive Residential Plot in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",Bangalore,41.5,2250,0,0,Land,"Clear Title, Blacktop Road, Fencing, Water Connection, Electricity",Unfurnished,0,"Prime East-facing 2250 sq.ft residential plot in gated layout at Sarjapur Road, Bangalore. Close to Wipro SEZ Campus. Clear titles, 40ft approach road, and high investment appreciation potential.",Karnataka,Bangalore Urban,Sarjapur Road,Sarjapur Main Road,Wipro SEZ Campus,560035,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=600&q=80&sig=1034
PROP-1035,"Sky Villa 4 BHK Penthouse in HSR Layout, Bangalore","HSR Layout, Bangalore",Bangalore,298.0,3600,4,5,Penthouse,"Parking, Private Terrace, Swimming Pool, Gym, Elevator, Security, Concierge",Furnished,1,"Top-floor luxury sky villa penthouse commanding panoramic views of Bangalore skyline in HSR Layout. Private rooftop deck, VRV air-conditioning, Italian marble flooring, and 3 reserved parking slots.",Karnataka,Bangalore Urban,HSR Layout,HSR Layout Sector 1,BDAS Complex,560102,https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?auto=format&fit=crop&w=600&q=80&sig=1035
PROP-1036,"Modern 3 BHK Apartment in BTM Layout, Bangalore","BTM Layout, Bangalore",Bangalore,87.5,1400,3,3,Apartment,"Parking, Elevator, Security, Power Backup, Gym, Balcony, Play Area",Unfurnished,1,"Beautiful, well-ventilated 3 BHK home situated in prime residential hub of BTM Layout, Bangalore. Modular kitchen, sunlit living area, high-speed elevator, and 24-hour security.",Karnataka,Bangalore Urban,BTM Layout,BTM 2nd Stage,Udupi Garden Signal,560076,https://images.unsplash.com/photo-1600585154526-990dced4db0d?auto=format&fit=crop&w=600&q=80&sig=1036
PROP-1037,"Luxury 4 BHK Triplex Villa in Bellandur, Bangalore","Bellandur, Bangalore",Bangalore,288.0,3520,4,4,Villa,"Parking, Private Garden, Swimming Pool, Security, Clubhouse, Gym, Solar Power",Semi-Furnished,2,"Exquisite 4 BHK independent triplex villa in premium gated township at Bellandur, Bangalore. Includes private landscaped garden, double-height living hall, servant quarters, and 2 car parkings.",Karnataka,Bangalore Urban,Bellandur,Outer Ring Road Bellandur,Ecospace Tech Park,560103,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=600&q=80&sig=1037
PROP-1038,"Spacious 3 BHK Independent Duplex in Yelahanka, Bangalore","Yelahanka, Bangalore",Bangalore,194.0,2670,3,3,Independent House,"Parking, Private Courtyard, Security, Power Backup, Terrace Garden",Semi-Furnished,2,"Independent ground + 1 duplex residence in serene neighborhood of Yelahanka, Bangalore. Features wide road frontage, Vastu-compliant layout, private paved garden, and 24/7 power backup.",Karnataka,Bangalore Urban,Yelahanka,Yelahanka New Town,Cognizant Campus,560064,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=600&q=80&sig=1038
PROP-1039,"Exclusive Residential Plot in Rajajinagar, Bangalore","Rajajinagar, Bangalore",Bangalore,64.0,3000,0,0,Land,"Clear Title, Blacktop Road, Fencing, Water Connection, Electricity",Unfurnished,0,"Prime East-facing 3000 sq.ft residential plot in gated layout at Rajajinagar, Bangalore. Close to ISKCON Temple. Clear titles, 40ft approach road, and high investment appreciation potential.",Karnataka,Bangalore Urban,Rajajinagar,Rajajinagar 4th Block,ISKCON Temple,560010,https://images.unsplash.com/photo-1549517045-bc93de075e53?auto=format&fit=crop&w=600&q=80&sig=1039
PROP-1040,"Sky Villa 4 BHK Penthouse in Thanisandra, Bangalore","Thanisandra, Bangalore",Bangalore,408.0,4100,4,5,Penthouse,"Parking, Private Terrace, Swimming Pool, Gym, Elevator, Security, Concierge",Furnished,0,"Top-floor luxury sky villa penthouse commanding panoramic views of Bangalore skyline in Thanisandra. Private rooftop deck, VRV air-conditioning, Italian marble flooring, and 3 reserved parking slots.",Karnataka,Bangalore Urban,Thanisandra,Thanisandra Main Road,Manyata Tech Park,560077,https://images.unsplash.com/photo-1513584684374-8bab748fbf90?auto=format&fit=crop&w=600&q=80&sig=1040
PROP-1041,"Modern 2 BHK Apartment in Jubilee Hills, Hyderabad","Jubilee Hills, Hyderabad",Hyderabad,45.0,950,2,2,Apartment,"Parking, Elevator, Security, Power Backup, Gym, Balcony, Play Area",Semi-Furnished,0,"Beautiful, well-ventilated 2 BHK home situated in prime residential hub of Jubilee Hills, Hyderabad. Modular kitchen, sunlit living area, high-speed elevator, and 24-hour security.",Telangana,Hyderabad,Jubilee Hills,Road No 36 Jubilee Hills,Metro Pillar 22,500033,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=600&q=80&sig=1041
PROP-1042,"Luxury 4 BHK Triplex Villa in Gachibowli, Hyderabad","Gachibowli, Hyderabad",Hyderabad,198.0,2920,4,4,Villa,"Parking, Private Garden, Swimming Pool, Security, Clubhouse, Gym, Solar Power",Furnished,1,"Exquisite 4 BHK independent triplex villa in premium gated township at Gachibowli, Hyderabad. Includes private landscaped garden, double-height living hall, servant quarters, and 2 car parkings.",Telangana,Hyderabad,Gachibowli,Financial District Gachibowli,Bio Diversity Park,500032,https://images.unsplash.com/photo-1568605117036-5fe5e7bab0b7?auto=format&fit=crop&w=600&q=80&sig=1042
PROP-1043,"Spacious 3 BHK Independent Duplex in HITEC City, Hyderabad","HITEC City, Hyderabad",Hyderabad,134.0,2120,3,3,Independent House,"Parking, Private Courtyard, Security, Power Backup, Terrace Garden",Semi-Furnished,2,"Independent ground + 1 duplex residence in serene neighborhood of HITEC City, Hyderabad. Features wide road frontage, Vastu-compliant layout, private paved garden, and 24/7 power backup.",Telangana,Hyderabad,HITEC City,Cyber Towers Road,Cyber Towers Junction,500081,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=600&q=80&sig=1043
PROP-1044,"Exclusive Residential Plot in Kondapur, Hyderabad","Kondapur, Hyderabad",Hyderabad,41.5,2250,0,0,Land,"Clear Title, Blacktop Road, Fencing, Water Connection, Electricity",Unfurnished,0,"Prime East-facing 2250 sq.ft residential plot in gated layout at Kondapur, Hyderabad. Close to Botanical Garden Gate. Clear titles, 40ft approach road, and high investment appreciation potential.",Telangana,Hyderabad,Kondapur,Kondapur Main Road,Botanical Garden Gate,500084,https://images.unsplash.com/photo-1572120360610-d971b9d7767c?auto=format&fit=crop&w=600&q=80&sig=1044
PROP-1045,"Sky Villa 4 BHK Penthouse in Madhapur, Hyderabad","Madhapur, Hyderabad",Hyderabad,298.0,3600,4,5,Penthouse,"Parking, Private Terrace, Swimming Pool, Gym, Elevator, Security, Concierge",Furnished,1,"Top-floor luxury sky villa penthouse commanding panoramic views of Hyderabad skyline in Madhapur. Private rooftop deck, VRV air-conditioning, Italian marble flooring, and 3 reserved parking slots.",Telangana,Hyderabad,Madhapur,Durgam Cheruvu Road,Durgam Cheruvu Bridge,500081,https://images.unsplash.com/photo-1500382017468-9049fed747ef?auto=format&fit=crop&w=600&q=80&sig=1045
PROP-1046,"Modern 3 BHK Apartment in Miyapur, Hyderabad","Miyapur, Hyderabad",Hyderabad,87.5,1400,3,3,Apartment,"Parking, Elevator, Security, Power Backup, Gym, Balcony, Play Area",Unfurnished,1,"Beautiful, well-ventilated 3 BHK home situated in prime residential hub of Miyapur, Hyderabad. Modular kitchen, sunlit living area, high-speed elevator, and 24-hour security.",Telangana,Hyderabad,Miyapur,Miyapur Metro Station,Miyapur X Roads,500049,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=600&q=80&sig=1046
PROP-1047,"Luxury 4 BHK Triplex Villa in Manikonda, Hyderabad","Manikonda, Hyderabad",Hyderabad,288.0,3520,4,4,Villa,"Parking, Private Garden, Swimming Pool, Security, Clubhouse, Gym, Solar Power",Semi-Furnished,2,"Exquisite 4 BHK independent triplex villa in premium gated township at Manikonda, Hyderabad. Includes private landscaped garden, double-height living hall, servant quarters, and 2 car parkings.",Telangana,Hyderabad,Manikonda,Manikonda Main Road,L&T Financial Towers,500089,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=600&q=80&sig=1047
